"Code","Message"
11252,"Security is in primary distribution"
11263,"Trading account limit will be exceeded"
11271,"Negotiated deals are not allowed during this period"
11361,"Invalid order method for firm"
11363,"Only negotiated deal orders are accepted for this trading account"
11364,"Buy orders are not accepted for this trading account"
11365,"Sell orders are not accepted for this trading account"
11368,"Unable to match Force Partial Withdraw Order"
11376,"Orders canceled successfully"
11407,"Invalid order method for trdacc"
11408,"Fill Withdraw option not allowed for a market order"
11409,"No weighted average price exists"
11413,"Firm and Counterparty must be the same for deals on this board"
11414,"Price is outside of allowed range"
11415,"One side of the deal must have a client account"
11416,"One side of the deal must have a members own account"
11419,"No bid or offer price exists for the source security and board"
11424,"No Second Part Price exists for REPO"
11425,"No Rate Of Interest exists for REPO"
11429,"REPO Upper limit breached"
11438,"REPO rate out of range"
11439,"REPO second part period is not closed"
11443,"Yield is outside of allowed range"
11445,"Cross trades not allowed for this instrument"
11446,"Firm cash limit for the Second Part of REPO will be breached"
11447,"Total cash limit for REPO operations will be breached"
11448,"Invalid settle code specified"
11449,"Invalid number of trades"
11450,"Invalid trade number"
11451,"You can not validate this trade"
11452,"These trades can not be validated"
11453,"Trade is already validated"
11454,"There is a report for buy trade"
11456,"Report  accepted"
11457,"Report  accepted & matched"
11458,"Invalid report number specified"
11459,"Report withdrawn"
11460,"No reports to withdraw"
11461,"There already exists a buy quote for specified security and settlement code"
11462,"There already exists a sell quote for specified security and settlement code"
11463,"Quote withdrawn"
11464,"No quotes to withdraw"
11465,"Reports are not allowed during this period"
11486,"Order value is incorrect"
11497,"Invalid character in brokerref"
11498,"Invalid character in matchref"
11499,"Invalid character in extref"
11507,"Order quantity doesn't match security's granularity ( lots)"
11508,"Account has insufficient convsecurity balance to sell"
11509,"Immediate WAPrice orders not accepted during security's open period"
11510,"Immediate WAPrice orders not accepted during  primary auction"
11511,"Immediate WAPrice orders could not be queued"
11512,"Buy order accepted"
11513,"Sell order accepted"
11515,"Refund rate is not allowed for the settle code specified"
11516,"Incomplete repo order"
11517,"Invalid refund rate"
11518,"Invalid REPO rate"
11519,"Invalid price2"
11520,"Negative or zero price2 resulted"
11521,"Can't send report to trade  due to invalid price"
11522,"Invalid combination of market, board, instrument and security"
11523,"REPO rate must not exceed"
11533,"Invalid client code"
11536,"Order must be a limit order"
11537,"Order may not be a single price order"
11538,"Order should have zero quantity"
11539,"Buy order already entered"
11540,"Price must be 0 for market orders in auction"
11543,"Auction price can not be calculated"
11548,"Repo Rate is incorrect"
11549,"Repo Rate is incorrect"
11550,"Limit will be breached for position"
11554,"Invalid discount specified"
11555,"Invalid lower discount specified"
11556,"Invalid upper discount specified"
11557,"Invalid block collateral flag"
11558,"Invalid repo value specified"
11559,"Invalid price resulted"
11560,"Invalid quantity resulted"
11561,"Invalid REPO value resulted"
11562,"Invalid REPO repurchase value resulted"
11563,"Main board is not defined for the security"
11565,"Market price is not defined for the security"
11566,"Starting discount can not be less than lower discount limit"
11567,"Starting discount can not be greater than upper discount limit"
11568,"This report can not be cleanly accepted"
11573,"Invalid settlement code or REPO term specified"
11575,"Buy Order accepted. Balance withdrawn to avoid a cross trade"
11576,"Sell Order accepted. Balance withdrawn to avoid a cross trade"
11577,"This order causes a cross trade"
